expected_speed,predicted_speed,angle,error
31.439999999999998,31.00750000000001,-1.104,11
31.3,30.982499999999998,-0.552,10
30.939999999999998,30.440000000000015,-2.208,18
30.72,30.30499999999999,-1.104,17
30.4,29.807499999999994,-2.208,24
30.080000000000002,29.429999999999986,-2.208,27
29.68,29.112499999999994,-22.08,30
29.440000000000005,29.014999999999997,-2.208,30
29.060000000000002,28.595,-22.08,36
28.78,28.29500000000001,-22.08,38
28.560000000000002,28.21000000000002,-22.08,38
28.419999999999998,28.32749999999998,-22.08,37
28.160000000000004,27.86250000000002,-22.08,43
28.0,27.65750000000001,-22.08,44
27.959999999999997,28.077500000000004,-22.08,40
27.9,27.915,-22.08,41
27.759999999999998,27.60250000000001,-22.08,44
27.68,27.39749999999999,-22.08,47
27.68,27.637500000000006,-22.08,44
